vert_id,xcoord,ycoord
961,-73.9469169,40.8349476
962,-73.9469155,40.8194689
963,-73.9466145,40.7840489
964,-73.946546,40.816502
965,-73.946403,40.820572
966,-73.9462806,40.8208331
967,-73.9462259,40.8246448
968,-73.9461879,40.8210308
969,-73.9460796,40.8212618
970,-73.9459609,40.8328285
971,-73.9459527,40.8215357
972,-73.9457725,40.8327461
973,-73.9456209,40.8351645
974,-73.9455708,40.8078108
975,-73.9454515,40.8346374
976,-73.945439,40.8417546
977,-73.9454127,40.8077463
978,-73.9453526,40.8342912
979,-73.9453059,40.8481696
980,-73.9451567,40.8208736
981,-73.9450015,40.8341411
982,-73.9449209,40.8237625
983,-73.9449068,40.8452219
984,-73.9448113,40.8340611
985,-73.9448096,40.8074916
986,-73.9447664,40.8240379
987,-73.9447293,40.7832573
988,-73.9447121,40.8410394
989,-73.9445746,40.8363811
990,-73.9445661,40.834739
991,-73.9445457,40.8243333
992,-73.9443833,40.8414624
993,-73.9443745,40.8346611
994,-73.944371,40.7823141
995,-73.9443278,40.7797677
996,-73.9442512,40.8072559
997,-73.9441319,40.7800859
998,-73.9441039,40.8353715
999,-73.9441028,40.8407273
1000,-73.9440914,40.8421442
1001,-73.9440616,40.7829774
1002,-73.9440228,40.8459231
1003,-73.9440144,40.7809188
1004,-73.9439892,40.8432621
1005,-73.9439822,40.8250989
1006,-73.9439713,40.843761
1007,-73.9439155,40.8352891
1008,-73.9438506,40.823648
1009,-73.943813,40.825332
1010,-73.943788,40.8153312
1011,-73.9437636,40.7828652
1012,-73.9437395,40.8452609
1013,-73.9436452,40.8152715
1014,-73.9436022,40.8477216
1015,-73.9435744,40.845963
1016,-73.9435078,40.8463062
1017,-73.943357,40.825956
1018,-73.9432846,40.8461439
1019,-73.9431638,40.8264027
1020,-73.9431445,40.8283055
1021,-73.9431426,40.8464651
1022,-73.9431008,40.8502252
1023,-73.943066,40.840193
1024,-73.943059,40.826645
1025,-73.9430192,40.8491109
1026,-73.9429693,40.8315635
1027,-73.9429237,40.8232579
1028,-73.9426871,40.8065955
1029,-73.9425935,40.8278211
1030,-73.942508,40.8280379
1031,-73.9423297,40.8284464
1032,-73.942279,40.842154
1033,-73.942262,40.806416
1034,-73.9422069,40.8287277
1035,-73.9421031,40.82901
1036,-73.9420356,40.8291937
1037,-73.9419631,40.8517114
1038,-73.9419432,40.8294451
1039,-73.9419205,40.8228413
1040,-73.9419028,40.8492214
1041,-73.9418352,40.8518137
1042,-73.9418331,40.8062358
1043,-73.9416392,40.8508617
1044,-73.941368,40.830891
1045,-73.9413134,40.8513259
1046,-73.9412811,40.8523733
1047,-73.9412769,40.8392425
1048,-73.9412201,40.851404
1049,-73.9410885,40.8391601
1050,-73.941029,40.8505149
1051,-73.9409986,40.8058851
1052,-73.9409365,40.8141401
1053,-73.940795,40.844686
1054,-73.9407852,40.8140745
1055,-73.9406514,40.8347248
1056,-73.940646,40.805737
1057,-73.9403825,40.7852902
1058,-73.940346,40.830458
1059,-73.940241,40.846048
1060,-73.9402247,40.8513418
1061,-73.9402243,40.830292
1062,-73.9401964,40.8353595
1063,-73.9401714,40.8369643
1064,-73.9401576,40.8303809
1065,-73.9401283,40.8055184
1066,-73.940061,40.846519
1067,-73.940048,40.8344923
1068,-73.9400363,40.8303282
1069,-73.9400097,40.8385964
1070,-73.9398835,40.8358221
1071,-73.93987,40.8388006
1072,-73.9398609,40.8411266
1073,-73.93986,40.825648
1074,-73.9398546,40.8386599
1075,-73.9398455,40.8385135
1076,-73.9398098,40.8299145
1077,-73.9397145,40.8410581
1078,-73.939699,40.8053372
1079,-73.939651,40.8361427
1080,-73.9396505,40.8387426
1081,-73.9395901,40.8301428
1082,-73.9395493,40.8492397
1083,-73.939524,40.847838
1084,-73.9394836,40.8301026
1085,-73.9394804,40.84095
1086,-73.9393412,40.8365699
1087,-73.9392752,40.8420796
1088,-73.9392736,40.8416657
1089,-73.939255,40.842436
1090,-73.9391904,40.8486855
1091,-73.9391872,40.8051211
1092,-73.9391561,40.8487641
1093,-73.9391533,40.821668
1094,-73.939149,40.826626
1095,-73.9390145,40.8216091
1096,-73.9389728,40.849252
1097,-73.9389502,40.8493123
1098,-73.9389303,40.8443524
1099,-73.938904,40.8050028
1100,-73.9388597,40.8372351
1101,-73.9386779,40.8297407
1102,-73.9386611,40.8223425
1103,-73.9386594,40.8499781
1104,-73.9385805,40.8214272
1105,-73.9385736,40.8048669
1106,-73.938459,40.826334
1107,-73.9384302,40.8429055
1108,-73.938364,40.840487
1109,-73.9383539,40.8378835
1110,-73.938284,40.850909
1111,-73.938212,40.8229651
1112,-73.938036,40.847558
1113,-73.937975,40.847711
1114,-73.9376885,40.8483904
1115,-73.937635,40.812748
1116,-73.9376339,40.8484382
1117,-73.937435,40.85338
1118,-73.9374246,40.8043853
1119,-73.937383,40.83569
1120,-73.9373192,40.8242288
1121,-73.9372824,40.8291536
1122,-73.9372062,40.8394631
1123,-73.9370837,40.8489191
1124,-73.9370276,40.8489682
1125,-73.9370217,40.8341669
1126,-73.9369058,40.839864
1127,-73.9369033,40.855125
1128,-73.9368589,40.8248549
1129,-73.9367296,40.7904084
1130,-73.9367234,40.8040953
1131,-73.936691,40.837193
1132,-73.9365259,40.8526284
1133,-73.936403,40.847872
1134,-73.9363573,40.8479344
1135,-73.936295,40.8039181
1136,-73.9362925,40.8121723
1137,-73.9362503,40.8204537
1138,-73.9362325,40.8381008
1139,-73.9362289,40.8253955
1140,-73.9361928,40.8257799
1141,-73.9361558,40.8147789
1142,-73.9361052,40.8307192
1143,-73.9360876,40.850282
1144,-73.9359986,40.8120722
1145,-73.9359726,40.8484603
1146,-73.935929,40.84852
1147,-73.9358977,40.8275701
1148,-73.935896,40.8260058
1149,-73.935893,40.8310085
1150,-73.9358199,40.8037216
1151,-73.935756,40.815326
1152,-73.9357231,40.8501764
1153,-73.935602,40.857109
1154,-73.9355421,40.8284362
1155,-73.9355103,40.8267379
1156,-73.935468,40.8201109
1157,-73.9354209,40.8317067
1158,-73.9354207,40.7959869
1159,-73.9353476,40.8500096
1160,-73.9352439,40.8266329
1161,-73.9352284,40.8295922
1162,-73.9351997,40.8282853
1163,-73.935172,40.847358
1164,-73.9351625,40.8276017
1165,-73.9351294,40.8282617
1166,-73.9351264,40.847419
1167,-73.9349789,40.8363293
1168,-73.9349729,40.8279984
1169,-73.934966,40.84984
1170,-73.9349406,40.8281813
1171,-73.9349188,40.8096085
1172,-73.934911,40.8300508
1173,-73.9349016,40.8111547
1174,-73.9348568,40.8567453
1175,-73.9348468,40.8280367
1176,-73.934776,40.852058
1177,-73.9347436,40.8479313
1178,-73.934693,40.847999
1179,-73.9346816,40.8429382
1180,-73.9345921,40.8197265
1181,-73.9345819,40.8496786
1182,-73.9345631,40.8280397
1183,-73.934348,40.8187778
1184,-73.9340804,40.802095
1185,-73.9340781,40.8626547
1186,-73.9340691,40.8375512
1187,-73.933776,40.846763
1188,-73.933731,40.849321
1189,-73.9337263,40.8468318
1190,-73.9337066,40.8442431
1191,-73.9337034,40.8541572
1192,-73.9335781,40.8027762
1193,-73.9335085,40.8468386
1194,-73.9334055,40.802694
1195,-73.9333521,40.8473496
1196,-73.933307,40.847412
1197,-73.9332591,40.8386754
1198,-73.9331724,40.7950342
1199,-73.9328625,40.8489559
1200,-73.932669,40.8040762
1201,-73.932631,40.856716
1202,-73.932407,40.804428
1203,-73.9323412,40.8467477
1204,-73.932337,40.848735
1205,-73.9323138,40.8461493
1206,-73.932258,40.8462256
1207,-73.932228,40.853582
1208,-73.9321728,40.866448
1209,-73.9321084,40.7946103
1210,-73.932105,40.8052245
1211,-73.9320768,40.8464737
1212,-73.9319818,40.8485916
1213,-73.9318876,40.8467328
1214,-73.9318397,40.8467983
1215,-73.9318348,40.8461893
1216,-73.9317915,40.7944822
1217,-73.9317635,40.8009967
1218,-73.9317216,40.8463239
1219,-73.9316924,40.7944363
1220,-73.9315369,40.8462459
1221,-73.9315042,40.8589437
1222,-73.9314564,40.8456737
1223,-73.9313853,40.8018404
1224,-73.9313326,40.8593027
1225,-73.9312996,40.8483162
1226,-73.9312076,40.8596364
1227,-73.9311972,40.8017608
1228,-73.9311538,40.847737
1229,-73.9311471,40.8591806
1230,-73.9311005,40.8478107
1231,-73.930996,40.853062
1232,-73.9309136,40.859395
1233,-73.9309132,40.8668062
1234,-73.9308625,40.8481397
1235,-73.9307617,40.8593942
1236,-73.9304899,40.8452058
1237,-73.9304732,40.794774
1238,-73.9304693,40.866438
1239,-73.9303831,40.8487919
1240,-73.9303109,40.8024983
1241,-73.930112,40.8617817
1242,-73.9300716,40.8018886
1243,-73.9300052,40.8678058
1244,-73.9300043,40.8493104
1245,-73.9300037,40.8621121
1246,-73.929954,40.8625988
1247,-73.929644,40.854908
1248,-73.929603,40.852476
1249,-73.9293873,40.8623349
1250,-73.9291404,40.7974178
1251,-73.9291241,40.7993084
1252,-73.928722,40.866743
1253,-73.928716,40.856182
1254,-73.9286408,40.8511764
1255,-73.9285047,40.8564757
1256,-73.9284202,40.8656391
1257,-73.928411,40.856606
1258,-73.928266,40.8568009
1259,-73.9282354,40.8571635
1260,-73.9282329,40.8517346
1261,-73.9281419,40.8518592
1262,-73.928062,40.8655685
1263,-73.928057,40.8662
1264,-73.9277837,40.8652598
1265,-73.9274354,40.8571682
1266,-73.9272687,40.8655306
1267,-73.9267875,40.8537128
1268,-73.92662,40.864525
1269,-73.926011,40.863575
1270,-73.925919,40.867769
1271,-73.925373,40.862582
1272,-73.9253235,40.8613912
1273,-73.9252126,40.8613858
1274,-73.9252109,40.8612105
1275,-73.9250998,40.8613554
1276,-73.925005,40.866336
1277,-73.9248524,40.8563611
1278,-73.924849,40.8615058
1279,-73.9247908,40.8616308
1280,-73.924733,40.8615472
1281,-73.9246692,40.8614373
1282,-73.9246404,40.8613935
1283,-73.9244436,40.8610926
1284,-73.9244087,40.8616676
1285,-73.924385,40.865365
1286,-73.9241374,40.8618235
1287,-73.924038,40.868473
1288,-73.923767,40.864403
1289,-73.9233136,40.8593649
1290,-73.923137,40.863416
1291,-73.9231298,40.8590224
1292,-73.92311,40.867016
1293,-73.9229661,40.858935
1294,-73.9228995,40.8588094
1295,-73.9228906,40.8591464
1296,-73.9225476,40.8624952
1297,-73.9225464,40.8595101
1298,-73.9225094,40.8624268
1299,-73.922498,40.866064
1300,-73.9224584,40.862355
1301,-73.922145,40.86915
1302,-73.921884,40.8651
1303,-73.9217076,40.8684931
1304,-73.92125,40.864112
1305,-73.921214,40.867693
1306,-73.920897,40.869877
1307,-73.9208274,40.8670932
1308,-73.92066,40.8631896
1309,-73.920612,40.866759
1310,-73.9206112,40.863121
1311,-73.9205688,40.8630456
1312,-73.9205169,40.8622993
1313,-73.9204108,40.8664448
1314,-73.9202964,40.8626109
1315,-73.9202099,40.8661311
1316,-73.919996,40.865797
1317,-73.9198437,40.8631643
1318,-73.9197976,40.8654878
1319,-73.9197632,40.863541
1320,-73.919754,40.868114
1321,-73.9197009,40.8634684
1322,-73.9194646,40.8638085
1323,-73.9194094,40.8637912
1324,-73.919362,40.864809
1325,-73.9192622,40.8709698
1326,-73.919215,40.867275
1327,-73.918943,40.864463
1328,-73.918596,40.866315
1329,-73.918564,40.871479
1330,-73.918469,40.861775
1331,-73.918447,40.865109
1332,-73.918414,40.867584
1333,-73.9181211,40.8655852
1334,-73.9178311,40.8660121
1335,-73.917205,40.866813
1336,-73.917176,40.872499
1337,-73.917063,40.863691
1338,-73.917044,40.867026
1339,-73.9158633,40.8631878
1340,-73.9158491,40.8698643
1341,-73.915183,40.869551
1342,-73.914694,40.870225
1343,-73.9145779,40.8708669
1344,-73.9141793,40.8624678
1345,-73.914136,40.8712112
1346,-73.914009,40.87116
1347,-73.913352,40.868777
1348,-73.9121747,40.8703989
1349,-73.9119097,40.8728468
1350,-73.9117316,40.8728328
